id,set_id,part,rarity,effects,raw_desc
set2_head_blue,set_2,head,blue,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""charge_dmg"", ""value"": 0.25}, {""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""charge_time"", ""value"": -0.1}]",蓄力攻击伤害+25%，蓄力时间-10%
set2_head_gold,set_2,head,gold,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""charge_dmg"", ""value"": 0.35}, {""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""charge_time"", ""value"": -0.2}, {""trigger"": ""passive"", ""type"": ""special"", ""effect"": ""full_charge_ignore_def"", ""value"": 0.2}]",蓄力攻击伤害+35%，蓄力时间-20%，满蓄力时无视敌人20%防御
set2_body_white,set_2,body,white,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""max_hp"", ""value"": 0.12}]",最大生命值+12%
set2_body_blue,set_2,body,blue,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""max_hp"", ""value"": 0.18}, {""trigger"": ""passive"", ""type"": ""special"", ""effect"": ""charge_enemy_dmg_reduction"", ""value"": 0.15}]",最大生命值+18%，受到蓄力攻击类敌人伤害-15%
set2_body_gold,set_2,body,gold,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""max_hp"", ""value"": 0.25}, {""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""damage_reduction"", ""value"": 0.15}, {""trigger"": ""passive"", ""type"": ""special"", ""effect"": ""low_hp_dmg_reduction"", ""threshold"": 0.3, ""value"": 0.2}]",最大生命值+25%，受到所有伤害-15%，生命值低于30%时获得20%减伤
set2_foot_white,set_2,foot,white,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""speed"", ""value"": -0.05}, {""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""dodge_stamina_cost"", ""value"": 0.1}, {""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""def"", ""value"": 0.1}]",移速-5%，闪避消耗体力+10%，防御力+10%
set2_foot_blue,set_2,foot,blue,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""speed"", ""value"": -0.03}, {""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""dodge_stamina_cost"", ""value"": 0.05}, {""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""def"", ""value"": 0.15}]",移速-3%，闪避消耗体力+5%，防御力+15%
set2_foot_gold,set_2,foot,gold,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""def"", ""value"": 0.2}]",防御力+20%
set3_head_white,set_3,head,white,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""combo_dmg"", ""value"": 0.1}]",连携技伤害+10%
set3_head_blue,set_3,head,blue,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""combo_dmg"", ""value"": 0.15}]",连携技伤害+15%
set3_head_gold,set_3,head,gold,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""combo_dmg"", ""value"": 0.2}]",连携技伤害+20%
set3_body_white,set_3,body,white,"[{""trigger"": ""on_combo"", ""type"": ""heal"", ""stat"": ""hp_percent"", ""value"": 0.02}]",触发连携技后，回复2%生命
set3_body_blue,set_3,body,blue,"[{""trigger"": ""on_combo"", ""type"": ""heal"", ""stat"": ""hp_percent"", ""value"": 0.03}]",触发连携技后，回复3%生命
set3_body_gold,set_3,body,gold,"[{""trigger"": ""on_combo"", ""type"": ""heal"", ""stat"": ""hp_percent"", ""value"": 0.03}]",触发连携技后，回复3%生命
set3_foot_white,set_3,foot,white,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""atk_speed"", ""value"": 0.1}]",所有武器攻速+10%
set3_foot_blue,set_3,foot,blue,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""atk_speed"", ""value"": 0.15}]",所有武器攻速+15%
set3_foot_gold,set_3,foot,gold,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""atk_speed"", ""value"": 0.2}, {""trigger"": ""on_combo"", ""type"": ""stack_buff"", ""stat"": ""atk_speed"", ""value"": 0.01}]",所有武器攻速+20%，每触发一次连携技所有武器攻速+1%（可叠加）
